Logging to Training/Logs/PPO_testrew/PPO_3
-----------------------------------
| rollout/           |            |
|    ep_len_mean     | 45         |
|    ep_rew_mean     | -10.136803 |
| time/              |            |
|    fps             | 230        |
|    iterations      | 1          |
|    time_elapsed    | 0          |
|    total_timesteps | 128        |
-----------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 40.8        |
|    ep_rew_mean          | -10.192021  |
| time/                   |             |
|    fps                  | 221         |
|    iterations           | 2           |
|    time_elapsed         | 1           |
|    total_timesteps      | 256         |
| train/                  |             |
|    approx_kl            | 0.018240679 |
|    clip_fraction        | 0.136       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | -0.0121     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.23        |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0195     |
|    std                  | 1           |
|    value_loss           | 5.74        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 54           |
|    ep_rew_mean          | -10.357847   |
| time/                   |              |
|    fps                  | 218          |
|    iterations           | 3            |
|    time_elapsed         | 1            |
|    total_timesteps      | 384          |
| train/                  |              |
|    approx_kl            | 0.0030907337 |
|    clip_fraction        | 0.000781     |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.2        |
|    explained_variance   | 0.035        |
|    learning_rate        | 0.0003       |
|    loss                 | 7.51         |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00628     |
|    std                  | 1            |
|    value_loss           | 19           |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 54          |
|    ep_rew_mean          | -10.357847  |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 4           |
|    time_elapsed         | 2           |
|    total_timesteps      | 512         |
| train/                  |             |
|    approx_kl            | 0.015910437 |
|    clip_fraction        | 0.0656      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | -0.0208     |
|    learning_rate        | 0.0003      |
|    loss                 | 1.9         |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0192     |
|    std                  | 1           |
|    value_loss           | 4.25        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 54          |
|    ep_rew_mean          | -10.357847  |
| time/                   |             |
|    fps                  | 216         |
|    iterations           | 5           |
|    time_elapsed         | 2           |
|    total_timesteps      | 640         |
| train/                  |             |
|    approx_kl            | 0.017852556 |
|    clip_fraction        | 0.188       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.383       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0497     |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0226     |
|    std                  | 1.01        |
|    value_loss           | 0.0531      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 54          |
|    ep_rew_mean          | -10.357847  |
| time/                   |             |
|    fps                  | 216         |
|    iterations           | 6           |
|    time_elapsed         | 3           |
|    total_timesteps      | 768         |
| train/                  |             |
|    approx_kl            | 0.021875568 |
|    clip_fraction        | 0.19        |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.823       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0604     |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0206     |
|    std                  | 1           |
|    value_loss           | 0.00573     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 111        |
|    ep_rew_mean          | -12.399271 |
| time/                   |            |
|    fps                  | 216        |
|    iterations           | 7          |
|    time_elapsed         | 4          |
|    total_timesteps      | 896        |
| train/                  |            |
|    approx_kl            | 0.02662021 |
|    clip_fraction        | 0.166      |
|    clip_range           | 0.2        |
|    entropy_loss         | -14.2      |
|    explained_variance   | 0.886      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0292    |
|    n_updates            | 60         |
|    policy_gradient_loss | -0.0194    |
|    std                  | 1          |
|    value_loss           | 0.034      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 111         |
|    ep_rew_mean          | -12.399271  |
| time/                   |             |
|    fps                  | 215         |
|    iterations           | 8           |
|    time_elapsed         | 4           |
|    total_timesteps      | 1024        |
| train/                  |             |
|    approx_kl            | 0.013210032 |
|    clip_fraction        | 0.0484      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | -0.159      |
|    learning_rate        | 0.0003      |
|    loss                 | 1.71        |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0162     |
|    std                  | 1           |
|    value_loss           | 3.93        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 110         |
|    ep_rew_mean          | -16.212238  |
| time/                   |             |
|    fps                  | 215         |
|    iterations           | 9           |
|    time_elapsed         | 5           |
|    total_timesteps      | 1152        |
| train/                  |             |
|    approx_kl            | 0.027323853 |
|    clip_fraction        | 0.191       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.844       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0378     |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0248     |
|    std                  | 1           |
|    value_loss           | 0.0185      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 99.2         |
|    ep_rew_mean          | -15.2171545  |
| time/                   |              |
|    fps                  | 214          |
|    iterations           | 10           |
|    time_elapsed         | 5            |
|    total_timesteps      | 1280         |
| train/                  |              |
|    approx_kl            | 0.0028324188 |
|    clip_fraction        | 0.00313      |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.2        |
|    explained_variance   | 0.048        |
|    learning_rate        | 0.0003       |
|    loss                 | 74.6         |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.00622     |
|    std                  | 1            |
|    value_loss           | 130          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 105         |
|    ep_rew_mean          | -14.927645  |
| time/                   |             |
|    fps                  | 214         |
|    iterations           | 11          |
|    time_elapsed         | 6           |
|    total_timesteps      | 1408        |
| train/                  |             |
|    approx_kl            | 0.010159712 |
|    clip_fraction        | 0.025       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | -0.157      |
|    learning_rate        | 0.0003      |
|    loss                 | 1.98        |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0166     |
|    std                  | 1           |
|    value_loss           | 4.08        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 100         |
|    ep_rew_mean          | -14.389936  |
| time/                   |             |
|    fps                  | 213         |
|    iterations           | 12          |
|    time_elapsed         | 7           |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.019758116 |
|    clip_fraction        | 0.144       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.0974      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.505       |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0211     |
|    std                  | 1           |
|    value_loss           | 1.59        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 100         |
|    ep_rew_mean          | -14.389936  |
| time/                   |             |
|    fps                  | 213         |
|    iterations           | 13          |
|    time_elapsed         | 7           |
|    total_timesteps      | 1664        |
| train/                  |             |
|    approx_kl            | 0.020434823 |
|    clip_fraction        | 0.105       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.0964      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.931       |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.0176     |
|    std                  | 1           |
|    value_loss           | 2.33        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 97.9        |
|    ep_rew_mean          | -13.860534  |
| time/                   |             |
|    fps                  | 212         |
|    iterations           | 14          |
|    time_elapsed         | 8           |
