Logging to Training/Logs/FINALPPO_200K/PPO_1
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 60.8      |
|    ep_rew_mean     | -10.00386 |
| time/              |           |
|    fps             | 236       |
|    iterations      | 1         |
|    time_elapsed    | 1         |
|    total_timesteps | 256       |
----------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 59.5        |
|    ep_rew_mean          | -9.949161   |
| time/                   |             |
|    fps                  | 226         |
|    iterations           | 2           |
|    time_elapsed         | 2           |
|    total_timesteps      | 512         |
| train/                  |             |
|    approx_kl            | 0.011315755 |
|    clip_fraction        | 0.138       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | -0.0178     |
|    learning_rate        | 0.0003      |
|    loss                 | 3.84        |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0301     |
|    std                  | 1           |
|    value_loss           | 9.45        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 65.5        |
|    ep_rew_mean          | -9.795098   |
| time/                   |             |
|    fps                  | 223         |
|    iterations           | 3           |
|    time_elapsed         | 3           |
|    total_timesteps      | 768         |
| train/                  |             |
|    approx_kl            | 0.013886378 |
|    clip_fraction        | 0.0809      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | -0.0619     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.49        |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0155     |
|    std                  | 1           |
|    value_loss           | 5.8         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 64.5        |
|    ep_rew_mean          | -9.810822   |
| time/                   |             |
|    fps                  | 221         |
|    iterations           | 4           |
|    time_elapsed         | 4           |
|    total_timesteps      | 1024        |
| train/                  |             |
|    approx_kl            | 0.014288176 |
|    clip_fraction        | 0.136       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.13        |
|    learning_rate        | 0.0003      |
|    loss                 | 1.03        |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0257     |
|    std                  | 1           |
|    value_loss           | 3           |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 64.5        |
|    ep_rew_mean          | -9.810822   |
| time/                   |             |
|    fps                  | 221         |
|    iterations           | 5           |
|    time_elapsed         | 5           |
|    total_timesteps      | 1280        |
| train/                  |             |
|    approx_kl            | 0.028881302 |
|    clip_fraction        | 0.175       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | -0.352      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.016      |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0196     |
|    std                  | 1           |
|    value_loss           | 0.872       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 64.5        |
|    ep_rew_mean          | -9.810822   |
| time/                   |             |
|    fps                  | 220         |
|    iterations           | 6           |
|    time_elapsed         | 6           |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.010157311 |
|    clip_fraction        | 0.098       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.702       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00271    |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0145     |
|    std                  | 1           |
|    value_loss           | 0.1         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 64.5        |
|    ep_rew_mean          | -9.810822   |
| time/                   |             |
|    fps                  | 220         |
|    iterations           | 7           |
|    time_elapsed         | 8           |
