Logging to Training/Logs/PPO_testrew/PPO_4
-----------------------------------
| rollout/           |            |
|    ep_len_mean     | 56.5       |
|    ep_rew_mean     | -10.334052 |
| time/              |            |
|    fps             | 240        |
|    iterations      | 1          |
|    time_elapsed    | 8          |
|    total_timesteps | 2048       |
-----------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 65.6        |
|    ep_rew_mean          | -10.486404  |
| time/                   |             |
|    fps                  | 232         |
|    iterations           | 2           |
|    time_elapsed         | 17          |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.011820681 |
|    clip_fraction        | 0.13        |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.000722    |
|    learning_rate        | 0.0003      |
|    loss                 | 3.87        |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0174     |
|    std                  | 0.999       |
|    value_loss           | 7.58        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 77.5        |
|    ep_rew_mean          | -10.827017  |
| time/                   |             |
|    fps                  | 231         |
|    iterations           | 3           |
|    time_elapsed         | 26          |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.011127513 |
|    clip_fraction        | 0.106       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | -0.0779     |
|    learning_rate        | 0.0003      |
|    loss                 | 1.64        |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0147     |
|    std                  | 1           |
|    value_loss           | 3.82        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 94          |
|    ep_rew_mean          | -11.753635  |
| time/                   |             |
|    fps                  | 230         |
|    iterations           | 4           |
|    time_elapsed         | 35          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.011805613 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.0464      |
|    learning_rate        | 0.0003      |
|    loss                 | 1.13        |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0144     |
|    std                  | 1           |
|    value_loss           | 1.84        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 108         |
|    ep_rew_mean          | -12.757947  |
| time/                   |             |
|    fps                  | 229         |
|    iterations           | 5           |
|    time_elapsed         | 44          |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.014109612 |
|    clip_fraction        | 0.186       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.375       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.654       |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0176     |
|    std                  | 1           |
|    value_loss           | 0.901       |
