Logging to Training/Logs/PPO_testrew/PPO_2
-----------------------------------
| rollout/           |            |
|    ep_len_mean     | 105        |
|    ep_rew_mean     | -51.170044 |
| time/              |            |
|    fps             | 235        |
|    iterations      | 1          |
|    time_elapsed    | 1          |
|    total_timesteps | 256        |
-----------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 154          |
|    ep_rew_mean          | -39.488426   |
| time/                   |              |
|    fps                  | 227          |
|    iterations           | 2            |
|    time_elapsed         | 2            |
|    total_timesteps      | 512          |
| train/                  |              |
|    approx_kl            | 0.0013484238 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.6        |
|    explained_variance   | 0.121        |
|    learning_rate        | 0.0003       |
|    loss                 | 31.8         |
|    n_updates            | 1010         |
|    policy_gradient_loss | -0.003       |
|    std                  | 1.04         |
|    value_loss           | 59.3         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 140          |
|    ep_rew_mean          | -42.49543    |
| time/                   |              |
|    fps                  | 224          |
|    iterations           | 3            |
|    time_elapsed         | 3            |
|    total_timesteps      | 768          |
| train/                  |              |
|    approx_kl            | 0.0044532656 |
|    clip_fraction        | 0.00937      |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.6        |
|    explained_variance   | 0.135        |
|    learning_rate        | 0.0003       |
|    loss                 | 26.6         |
|    n_updates            | 1020         |
|    policy_gradient_loss | -0.00796     |
|    std                  | 1.04         |
|    value_loss           | 52.6         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 173          |
|    ep_rew_mean          | -38.0035     |
| time/                   |              |
|    fps                  | 223          |
|    iterations           | 4            |
|    time_elapsed         | 4            |
|    total_timesteps      | 1024         |
| train/                  |              |
|    approx_kl            | 0.0049783136 |
|    clip_fraction        | 0.00937      |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.6        |
|    explained_variance   | -0.0536      |
|    learning_rate        | 0.0003       |
|    loss                 | 22.5         |
|    n_updates            | 1030         |
|    policy_gradient_loss | -0.00558     |
|    std                  | 1.04         |
|    value_loss           | 52.2         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 173         |
|    ep_rew_mean          | -38.0035    |
| time/                   |             |
|    fps                  | 222         |
|    iterations           | 5           |
|    time_elapsed         | 5           |
|    total_timesteps      | 1280        |
| train/                  |             |
|    approx_kl            | 0.015431608 |
|    clip_fraction        | 0.0996      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.6       |
|    explained_variance   | 0.925       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00797     |
|    n_updates            | 1040        |
|    policy_gradient_loss | -0.0169     |
|    std                  | 1.04        |
|    value_loss           | 0.529       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 222         |
|    ep_rew_mean          | -36.386806  |
| time/                   |             |
|    fps                  | 222         |
|    iterations           | 6           |
|    time_elapsed         | 6           |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.014660321 |
|    clip_fraction        | 0.113       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.6       |
|    explained_variance   | 0.422       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00496     |
|    n_updates            | 1050        |
|    policy_gradient_loss | -0.011      |
|    std                  | 1.04        |
|    value_loss           | 0.306       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 221        |
|    ep_rew_mean          | -33.541653 |
| time/                   |            |
|    fps                  | 222        |
|    iterations           | 7          |
|    time_elapsed         | 8          |
|    total_timesteps      | 1792       |
| train/                  |            |
|    approx_kl            | 0.03082431 |
|    clip_fraction        | 0.143      |
|    clip_range           | 0.2        |
|    entropy_loss         | -14.6      |
|    explained_variance   | 0.828      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0299    |
|    n_updates            | 1060       |
|    policy_gradient_loss | -0.0292    |
|    std                  | 1.04       |
|    value_loss           | 0.302      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 212         |
|    ep_rew_mean          | -33.61026   |
| time/                   |             |
|    fps                  | 221         |
|    iterations           | 8           |
|    time_elapsed         | 9           |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.019951705 |
|    clip_fraction        | 0.157       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.6       |
|    explained_variance   | 0.902       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.000889    |
|    n_updates            | 1070        |
|    policy_gradient_loss | -0.0297     |
|    std                  | 1.04        |
|    value_loss           | 0.239       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 212         |
|    ep_rew_mean          | -33.61026   |
| time/                   |             |
|    fps                  | 221         |
|    iterations           | 9           |
|    time_elapsed         | 10          |
|    total_timesteps      | 2304        |
| train/                  |             |
|    approx_kl            | 0.004822226 |
|    clip_fraction        | 0.016       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.6       |
|    explained_variance   | 0.0473      |
|    learning_rate        | 0.0003      |
|    loss                 | 32.4        |
|    n_updates            | 1080        |
|    policy_gradient_loss | -0.00308    |
|    std                  | 1.04        |
|    value_loss           | 56.9        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 238        |
|    ep_rew_mean          | -32.643875 |
| time/                   |            |
|    fps                  | 221        |
|    iterations           | 10         |
|    time_elapsed         | 11         |
|    total_timesteps      | 2560       |
| train/                  |            |
|    approx_kl            | 0.0200219  |
|    clip_fraction        | 0.227      |
|    clip_range           | 0.2        |
|    entropy_loss         | -14.6      |
|    explained_variance   | 0.202      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0161    |
|    n_updates            | 1090       |
|    policy_gradient_loss | -0.0295    |
|    std                  | 1.04       |
|    value_loss           | 0.593      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 228        |
|    ep_rew_mean          | -32.707043 |
| time/                   |            |
|    fps                  | 221        |
|    iterations           | 11         |
|    time_elapsed         | 12         |
|    total_timesteps      | 2816       |
| train/                  |            |
|    approx_kl            | 0.02529968 |
|    clip_fraction        | 0.148      |
|    clip_range           | 0.2        |
|    entropy_loss         | -14.6      |
|    explained_variance   | 0.84       |
|    learning_rate        | 0.0003     |
|    loss                 | 0.00183    |
|    n_updates            | 1100       |
|    policy_gradient_loss | -0.0247    |
|    std                  | 1.04       |
|    value_loss           | 0.179      |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 222          |
|    ep_rew_mean          | -31.098513   |
| time/                   |              |
|    fps                  | 221          |
|    iterations           | 12           |
|    time_elapsed         | 13           |
|    total_timesteps      | 3072         |
| train/                  |              |
|    approx_kl            | 0.0057807043 |
|    clip_fraction        | 0.0168       |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.6        |
|    explained_variance   | 0.0716       |
|    learning_rate        | 0.0003       |
|    loss                 | 7.9          |
|    n_updates            | 1110         |
|    policy_gradient_loss | -0.00624     |
|    std                  | 1.04         |
|    value_loss           | 56.4         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 231         |
|    ep_rew_mean          | -30.534166  |
| time/                   |             |
|    fps                  | 220         |
|    iterations           | 13          |
|    time_elapsed         | 15          |
|    total_timesteps      | 3328        |
| train/                  |             |
|    approx_kl            | 0.023128007 |
|    clip_fraction        | 0.18        |
