Logging to Training/Logs/FINALPPO_200K/PPO_8
----------------------------
| time/              |     |
|    fps             | 240 |
|    iterations      | 1   |
|    time_elapsed    | 0   |
|    total_timesteps | 128 |
----------------------------
-----------------------------------------
| time/                   |             |
|    fps                  | 230         |
|    iterations           | 2           |
|    time_elapsed         | 1           |
|    total_timesteps      | 256         |
| train/                  |             |
|    approx_kl            | 0.024371402 |
|    clip_fraction        | 0.226       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.997       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0511     |
|    n_updates            | 12740       |
|    policy_gradient_loss | -0.029      |
|    std                  | 0.91        |
|    value_loss           | 0.00551     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 339         |
|    ep_rew_mean          | -44.765114  |
| time/                   |             |
|    fps                  | 226         |
|    iterations           | 3           |
|    time_elapsed         | 1           |
|    total_timesteps      | 384         |
| train/                  |             |
|    approx_kl            | 0.012292794 |
|    clip_fraction        | 0.225       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.985       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0288     |
|    n_updates            | 12750       |
|    policy_gradient_loss | -0.0184     |
|    std                  | 0.91        |
|    value_loss           | 0.0181      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 219         |
|    ep_rew_mean          | -28.89471   |
| time/                   |             |
|    fps                  | 223         |
|    iterations           | 4           |
|    time_elapsed         | 2           |
|    total_timesteps      | 512         |
| train/                  |             |
|    approx_kl            | 0.040416017 |
|    clip_fraction        | 0.257       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.988       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00278    |
|    n_updates            | 12760       |
|    policy_gradient_loss | -0.0394     |
|    std                  | 0.91        |
|    value_loss           | 0.152       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 202         |
|    ep_rew_mean          | -26.147211  |
| time/                   |             |
|    fps                  | 222         |
|    iterations           | 5           |
|    time_elapsed         | 2           |
|    total_timesteps      | 640         |
| train/                  |             |
|    approx_kl            | 0.042185046 |
|    clip_fraction        | 0.313       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.956       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0315     |
|    n_updates            | 12770       |
|    policy_gradient_loss | -0.0405     |
|    std                  | 0.909       |
|    value_loss           | 0.0409      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 202        |
|    ep_rew_mean          | -26.147211 |
| time/                   |            |
|    fps                  | 221        |
|    iterations           | 6          |
|    time_elapsed         | 3          |
|    total_timesteps      | 768        |
| train/                  |            |
|    approx_kl            | 0.01809661 |
|    clip_fraction        | 0.221      |
|    clip_range           | 0.2        |
|    entropy_loss         | -13        |
|    explained_variance   | 0.972      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.00328   |
|    n_updates            | 12780      |
|    policy_gradient_loss | -0.0258    |
|    std                  | 0.91       |
|    value_loss           | 0.0872     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 202         |
|    ep_rew_mean          | -26.147211  |
| time/                   |             |
|    fps                  | 220         |
|    iterations           | 7           |
|    time_elapsed         | 4           |
|    total_timesteps      | 896         |
| train/                  |             |
|    approx_kl            | 0.018742984 |
|    clip_fraction        | 0.17        |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.995       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0302     |
|    n_updates            | 12790       |
|    policy_gradient_loss | -0.0236     |
|    std                  | 0.91        |
|    value_loss           | 0.00753     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 232         |
|    ep_rew_mean          | -30.414804  |
| time/                   |             |
|    fps                  | 219         |
|    iterations           | 8           |
|    time_elapsed         | 4           |
|    total_timesteps      | 1024        |
| train/                  |             |
|    approx_kl            | 0.016816914 |
|    clip_fraction        | 0.13        |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.96        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0124     |
|    n_updates            | 12800       |
|    policy_gradient_loss | -0.0111     |
|    std                  | 0.91        |
|    value_loss           | 0.0675      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 232         |
|    ep_rew_mean          | -30.414804  |
| time/                   |             |
|    fps                  | 219         |
|    iterations           | 9           |
|    time_elapsed         | 5           |
|    total_timesteps      | 1152        |
| train/                  |             |
|    approx_kl            | 0.015358827 |
|    clip_fraction        | 0.117       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.953       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0378     |
|    n_updates            | 12810       |
|    policy_gradient_loss | -0.0286     |
|    std                  | 0.909       |
|    value_loss           | 0.148       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 248         |
|    ep_rew_mean          | -34.250435  |
| time/                   |             |
|    fps                  | 218         |
|    iterations           | 10          |
|    time_elapsed         | 5           |
|    total_timesteps      | 1280        |
| train/                  |             |
|    approx_kl            | 0.019316044 |
|    clip_fraction        | 0.195       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.946       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0562     |
|    n_updates            | 12820       |
|    policy_gradient_loss | -0.0281     |
|    std                  | 0.91        |
|    value_loss           | 0.133       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 248         |
