Logging to Training/Logs/FINALPPO_200K/PPO_2
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 68.3      |
|    ep_rew_mean     | -9.697384 |
| time/              |           |
|    fps             | 122       |
|    iterations      | 1         |
|    time_elapsed    | 2         |
|    total_timesteps | 256       |
----------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 68.1         |
|    ep_rew_mean          | -9.985553    |
| time/                   |              |
|    fps                  | 146          |
|    iterations           | 2            |
|    time_elapsed         | 3            |
|    total_timesteps      | 512          |
| train/                  |              |
|    approx_kl            | 0.0071464237 |
|    clip_fraction        | 0.0965       |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.2        |
|    explained_variance   | 0.0113       |
|    learning_rate        | 0.0003       |
|    loss                 | 2.78         |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.0215      |
|    std                  | 0.998        |
|    value_loss           | 7.1          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 73.8        |
|    ep_rew_mean          | -9.994577   |
| time/                   |             |
|    fps                  | 164         |
|    iterations           | 3           |
|    time_elapsed         | 4           |
|    total_timesteps      | 768         |
| train/                  |             |
|    approx_kl            | 0.013339451 |
|    clip_fraction        | 0.0777      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.0466      |
|    learning_rate        | 0.0003      |
|    loss                 | 2.98        |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0166     |
|    std                  | 0.999       |
|    value_loss           | 6.3         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 84.1       |
|    ep_rew_mean          | -13.370122 |
| time/                   |            |
|    fps                  | 176        |
|    iterations           | 4          |
|    time_elapsed         | 5          |
|    total_timesteps      | 1024       |
| train/                  |            |
|    approx_kl            | 0.00989811 |
|    clip_fraction        | 0.145      |
|    clip_range           | 0.2        |
|    entropy_loss         | -14.2      |
|    explained_variance   | -0.113     |
|    learning_rate        | 0.0003     |
|    loss                 | 0.371      |
|    n_updates            | 30         |
|    policy_gradient_loss | -0.023     |
|    std                  | 0.998      |
|    value_loss           | 1.54       |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 73.4         |
|    ep_rew_mean          | -12.504759   |
| time/                   |              |
|    fps                  | 183          |
|    iterations           | 5            |
|    time_elapsed         | 6            |
|    total_timesteps      | 1280         |
| train/                  |              |
|    approx_kl            | 0.0016558606 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.2        |
|    explained_variance   | 0.00743      |
|    learning_rate        | 0.0003       |
|    loss                 | 32.9         |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00317     |
|    std                  | 0.998        |
|    value_loss           | 69.7         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 75.5        |
|    ep_rew_mean          | -12.045481  |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 6           |
|    time_elapsed         | 8           |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.017296534 |
|    clip_fraction        | 0.157       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | -0.0915     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.681       |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0249     |
|    std                  | 1           |
|    value_loss           | 2.39        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 75.5        |
|    ep_rew_mean          | -12.045481  |
| time/                   |             |
|    fps                  | 190         |
|    iterations           | 7           |
|    time_elapsed         | 9           |
|    total_timesteps      | 1792        |
| train/                  |             |
|    approx_kl            | 0.016753696 |
|    clip_fraction        | 0.134       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.00594     |
|    learning_rate        | 0.0003      |
|    loss                 | 1.02        |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0305     |
|    std                  | 1           |
|    value_loss           | 2.03        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 75.5        |
|    ep_rew_mean          | -12.045481  |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 8           |
|    time_elapsed         | 10          |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.014077905 |
|    clip_fraction        | 0.107       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.61        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0192     |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0164     |
|    std                  | 1.01        |
|    value_loss           | 0.301       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 75.5        |
|    ep_rew_mean          | -12.045481  |
| time/                   |             |
|    fps                  | 197         |
|    iterations           | 9           |
|    time_elapsed         | 11          |
|    total_timesteps      | 2304        |
| train/                  |             |
|    approx_kl            | 0.008201882 |
|    clip_fraction        | 0.0809      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | -4.48       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00129    |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0087     |
|    std                  | 1.01        |
|    value_loss           | 0.216       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 75.5        |
|    ep_rew_mean          | -12.045481  |
| time/                   |             |
|    fps                  | 198         |
|    iterations           | 10          |
|    time_elapsed         | 12          |
|    total_timesteps      | 2560        |
| train/                  |             |
|    approx_kl            | 0.012350958 |
|    clip_fraction        | 0.168       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.0978      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.013      |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0189     |
|    std                  | 1.01        |
|    value_loss           | 0.0336      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 75.5        |
|    ep_rew_mean          | -12.045481  |
| time/                   |             |
|    fps                  | 199         |
|    iterations           | 11          |
|    time_elapsed         | 14          |
|    total_timesteps      | 2816        |
| train/                  |             |
|    approx_kl            | 0.013933904 |
|    clip_fraction        | 0.241       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | -0.618      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0263     |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0274     |
|    std                  | 1.01        |
|    value_loss           | 0.0351      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 137         |
|    ep_rew_mean          | -13.340887  |
| time/                   |             |
|    fps                  | 201         |
|    iterations           | 12          |
|    time_elapsed         | 15          |
|    total_timesteps      | 3072        |
| train/                  |             |
|    approx_kl            | 0.011237827 |
|    clip_fraction        | 0.127       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | -0.578      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0332     |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0119     |
|    std                  | 1.01        |
|    value_loss           | 0.021       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 137         |
|    ep_rew_mean          | -13.340887  |
| time/                   |             |
|    fps                  | 202         |
|    iterations           | 13          |
|    time_elapsed         | 16          |
|    total_timesteps      | 3328        |
| train/                  |             |
|    approx_kl            | 0.011293379 |
|    clip_fraction        | 0.0539      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | -0.534      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0464      |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.0149     |
|    std                  | 1.01        |
|    value_loss           | 1.12        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 153         |
|    ep_rew_mean          | -13.357629  |
| time/                   |             |
|    fps                  | 203         |
|    iterations           | 14          |
|    time_elapsed         | 17          |
|    total_timesteps      | 3584        |
| train/                  |             |
|    approx_kl            | 0.022126451 |
|    clip_fraction        | 0.255       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.846       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0288     |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.0219     |
|    std                  | 1.01        |
|    value_loss           | 0.0627      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 166         |
|    ep_rew_mean          | -13.402005  |
| time/                   |             |
|    fps                  | 204         |
|    iterations           | 15          |
|    time_elapsed         | 18          |
|    total_timesteps      | 3840        |
| train/                  |             |
|    approx_kl            | 0.014418619 |
|    clip_fraction        | 0.113       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.34        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0356      |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.0245     |
|    std                  | 1.01        |
|    value_loss           | 0.625       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 161         |
|    ep_rew_mean          | -13.12112   |
| time/                   |             |
|    fps                  | 204         |
|    iterations           | 16          |
|    time_elapsed         | 20          |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.017766463 |
|    clip_fraction        | 0.209       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.542       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.23        |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0217     |
|    std                  | 1.01        |
|    value_loss           | 0.627       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 154         |
|    ep_rew_mean          | -12.854942  |
| time/                   |             |
|    fps                  | 205         |
|    iterations           | 17          |
|    time_elapsed         | 21          |
